ethnicity,component,score
Bumiputera,Family,8.65
Bumiputera,Income,6.35
Bumiputera,Working Life,7.6
Bumiputera,Culture,6.18
Bumiputera,Housing,7.67
Bumiputera,Religion,8.87
Chinese,Family,8.72
Chinese,Income,6.53
Chinese,Working Life,7.7
Chinese,Culture,6.16
Chinese,Housing,7.85
Chinese,Religion,8.28
Indians,Family,8.68
Indians,Income,6.44
Indians,Working Life,7.55
Indians,Culture,6.53
Indians,Housing,7.72
Indians,Religion,8.70
Others,Family,8.14
Others,Income,5.59
Others,Working Life,7.2
Others,Culture,5.76
Others,Housing,7.28
Others,Religion,8.39
