state,happiness,family,housing,social ,health,communication,education,work,income_happiness,safety,time_use,culture,religion,emotional
Johor,8.08,9.16,8.09,8.25,8.22,7.69,8.07,8.45,7.10,8.17,8.34,6.61,9.07,7.48
Kedah,7.68,8.52,7.99,7.69,7.74,7.28,7.78,7.62,6.52,7.59,8.15,6.54,8.98,7.07
Kelantan,7.24,8.18,7.17,7.13,7.37,6.60,7.25,7.14,5.65,6.53,7.74,5.83,8.96,7.38
Melaka,7.83,8.63,8.02,8.14,8.18,7.60,7.51,7.91,5.75,8.20,8.04,6.86,8.99,6.59
Negeri Sembilan,8.01,9.03,7.84,8.10,8.35,7.70,8.00,8.06,7.33,8.10,8.11,7.31,8.70,6.72
Pahang,7.92,9.04,8.10,8.21,8.40,7.59,8.57,7.75,6.03,7.93,8.40,6.74,8.99,7.14
Pulau Pinang,7.19,8.11,7.50,6.67,7.25,6.92,7.26,7.16,6.15,7.27,7.29,6.29,8.18,6.99
Perak,7.83,8.65,8.14,8.20,8.22,7.59,7.78,7.85,6.25,7.87,8.11,5.82,8.76,7.23
Perlis,7.65,8.63,8.24,7.60,7.78,7.43,8.12,7.81,5.49,8.23,7.24,6.32,8.64,7.05
Selangor,7.21,8.53,7.35,7.00,7.29,7.26,7.80,7.04,6.08,7.12,7.17,5.06,8.53,6.81
Terengganu,8.64,9.31,8.77,8.76,8.81,8.62,8.95,8.82,7.96,8.68,8.94,7.96,9.45,7.39
Sabah,7.60,8.46,7.52,7.68,7.65,7.07,7.32,7.48,6.75,7.56,7.91,6.80,8.70,6.97
Sarawak,7.53,8.74,7.32,7.51,7.99,6.80,7.95,7.75,6.35,6.99,8.10,6.52,8.34,7.22
W.P. Kuala Lumpur,7.22,8.26,7.15,6.59,7.60,7.57,7.53,7.12,6.13,7.03,7.24,5.95,7.94,7.25
W.P. Labuan,7.00,8.54,6.28,6.12,6.92,6.18,6.67,6.93,5.67,6.75,7.37,6.55,8.39,7.68
W.P. Putrajaya,7.55,8.73,7.54,7.21,7.70,7.41,7.71,7.53,6.01,7.18,8.03,6.00,8.77,7.78
