state,percentile,income
Johor,1,1682
Johor,2,2084
Johor,3,2343
Johor,4,2574
Johor,5,2762
Johor,6,2912
Johor,7,3052
Johor,8,3192
Johor,9,3324
Johor,10,3444
Johor,11,3571
Johor,12,3668
Johor,13,3768
Johor,14,3857
Johor,15,4024
Johor,16,4110
Johor,17,4169
Johor,18,4293
Johor,19,4400
Johor,20,4505
Johor,21,4619
Johor,22,4711
Johor,23,4810
Johor,24,4893
Johor,25,4996
Johor,26,5110
Johor,27,5206
Johor,28,5310
Johor,29,5396
Johor,30,5490
Johor,31,5590
Johor,32,5660
Johor,33,5763
Johor,34,5858
Johor,35,5986
Johor,36,6109
Johor,37,6204
Johor,38,6313
Johor,39,6426
Johor,40,6510
Johor,41,6612
Johor,42,6713
Johor,43,6826
Johor,44,6920
Johor,45,7016
Johor,46,7119
Johor,47,7255
Johor,48,7350
Johor,49,7497
Johor,50,7627
Johor,51,7772
Johor,52,7920
Johor,53,8022
Johor,54,8108
Johor,55,8204
Johor,56,8345
Johor,57,8469
Johor,58,8653
Johor,59,8776
Johor,60,8920
Johor,61,9053
Johor,62,9218
Johor,63,9360
Johor,64,9517
Johor,65,9655
Johor,66,9840
Johor,67,10047
Johor,68,10192
Johor,69,10367
Johor,70,10520
Johor,71,10731
Johor,72,10909
Johor,73,11072
Johor,74,11314
Johor,75,12106
Johor,76,12734
Johor,77,12918
Johor,78,13113
Johor,79,13274
Johor,80,13460
Johor,81,13630
Johor,82,13826
Johor,83,14015
Johor,84,14225
Johor,85,14463
Johor,86,14717
Johor,87,14999
Johor,88,15510
Johor,89,15986
Johor,90,16517
Johor,91,16938
Johor,92,17541
Johor,93,18323
Johor,94,19332
Johor,95,20561
Kedah,1,1178
Kedah,2,1414
Kedah,3,1504
Kedah,4,1595
Kedah,5,1690
Kedah,6,1776
Kedah,7,1853
Kedah,8,1934
Kedah,9,2017
Kedah,10,2164
Kedah,11,2248
Kedah,12,2354
Kedah,13,2421
Kedah,14,2481
Kedah,15,2567
Kedah,16,2625
Kedah,17,2676
Kedah,18,2738
Kedah,19,2805
Kedah,20,2871
Kedah,21,2916
Kedah,22,2982
Kedah,23,3031
Kedah,24,3077
Kedah,25,3137
Kedah,26,3180
Kedah,27,3236
Kedah,28,3273
Kedah,29,3338
Kedah,30,3390
Kedah,31,3446
Kedah,32,3485
Kedah,33,3544
Kedah,34,3586
Kedah,35,3640
Kedah,36,3681
Kedah,37,3721
Kedah,38,3775
Kedah,39,3835
Kedah,40,3894
Kedah,41,4033
Kedah,42,4207
Kedah,43,4348
Kedah,44,4430
Kedah,45,4510
Kedah,46,4588
