state,p10,p90,inequality_gap,inequality_ratio,happiness,lon,lat,topo_name
Johor,3444,16517,13073,4.795876887,8.08,103.4978,1.8918,Johor
Kedah,2164,10471,8307,4.838724584,7.68,100.6703,5.8614,Kedah
Kelantan,1963,9760,7797,4.971981661,7.24,102.0635,5.1996,Kelantan
Melaka,3397,15181,11784,4.468943185,7.83,102.3085,2.2905,Melaka
Negeri Sembilan,2622,13563,10941,5.172768879,8.01,102.0817,2.6181,Negeri Sembilan
Pahang,2716,10668,7952,3.927835052,7.92,102.3234,4.0715,Pahang
Perak,2268,11131,8863,4.907848325,7.83,101.1471,4.7339,Perak
Perlis,2348,10274,7926,4.375638842,7.65,100.2275,6.5248,Perlis
Pulau Pinang,3123,16186,13063,5.182837016,7.19,100.2334,5.3684,Pulau Pinang
Sabah,2145,12526,10381,5.83962704,7.6,116.9759,5.2782,Sabah
Sarawak,2388,12920,10532,5.41038526,7.53,113.3902,2.7385,Sarawak
Selangor,5583,21131,15548,3.78488268,7.21,101.505,3.3554,Selangor
Terengganu,3309,13211,9902,3.992444847,8.64,102.8973,4.8253,Terengganu
W.P. Kuala Lumpur,4970,23661,18691,4.760764588,7.22,101.6925,3.1392,Kuala Lumpur
W.P. Labuan,3170,14603,11433,4.606624606,7,115.2278,5.3068,Labuan
W.P. Putrajaya,5218,24489,19271,4.693177463,7.55,101.6867,2.9334,Putrajaya
