state,happiness,income,income_happiness,region
Johor,8.08,7627,7.10,Peninsular
Kedah,7.68,4866,6.52,Peninsular
Kelantan,7.24,4043,5.65,Peninsular
Melaka,7.83,6849,5.75,Peninsular
Negeri Sembilan,8.01,5543,7.33,Peninsular
Pahang,7.92,4947,6.03,Peninsular
Perak,7.83,4645,6.25,Peninsular
Perlis,7.65,4923,5.49,Peninsular
Pulau Pinang,7.19,7327,6.15,Peninsular
Selangor,7.21,10676,6.08,Peninsular
Terengganu,8.64,6592,7.96,Peninsular
Sabah,7.6,4852,6.75,East Malaysia
Sarawak,7.53,5454,6.35,East Malaysia
W.P. Kuala Lumpur,7.22,10742,6.13,Federal Territory
W.P. Labuan,7,7339,5.67,Federal Territory
W.P. Putrajaya,7.55,10754,6.01,Federal Territory
